claim_id,status,evidence_artifact,manuscript_permission,note
TVT-C01,supported,tests/test_models.py,method_only,"Tri-mask simplex and phase-preserving real-mask application are implemented and unit-tested; this is not performance evidence."
TVT-C02,supported,standards/cache_factor_screening_1024_v1.audit.json,internal_pipeline_only,"The 1024 screening cache passed integrity audit but is explicitly not formal TVT evidence."
TVT-C03,rejected,artifacts/diagnostic_iqformer_route_v3/DISPOSITION.md,prohibited,"VIMD-v3 failed its predeclared held-out accuracy gain gate."
TVT-C04,blocked,,prohibited,"No eligible formal run yet establishes hard-interference superiority."
TVT-C05,blocked,,prohibited,"No eligible formal run yet establishes unseen-jammer generalization."
TVT-C06,blocked,,prohibited,"No eligible formal run yet establishes unseen-speed or held-channel improvement."
TVT-C07,blocked,,prohibited,"No eligible formal run yet establishes A2/A3 teacher benefit."
TVT-C08,blocked,,prohibited,"No eligible formal run yet establishes A3/A4 multi-task benefit."
TVT-C09,blocked,,prohibited,"No eligible formal run yet establishes A4/A5 exact-source contrastive benefit."
TVT-C10,supported,artifacts/cochannel_identifiability/source_swap_v1/counterexample.json,task_definition_only,"Source-exchange counterexample supports excluding unanchored in-taxonomy cochannel single-label records; it is not method-performance evidence."
TVT-C11,blocked,,prohibited,"No continuous-trajectory, SDR, or field evidence supports a full vehicular-system claim."
TVT-C12,blocked,,prohibited,"No isolated uncontaminated latency record supports a real-time claim."
TVT-C13,supported,tvt_submission/sources/cssl_amc_2025.lock.json,comparison_protocol_only,"The pinned 2025 CSSL-AMC encoder/classifier is registered only as an official-architecture supervised adaptation; no complete reproduction, official result, structured-interference-specific claim, or performance claim is supported."
